Keywords,SeverityValue,EventID,ExecutionProcessID,Channel,ThreadID,port,RecordNumber,Task,SourceName,Hostname,OpcodeValue,ERROR_EVT_UNRESOLVED,Version,attack_type,label,hour,day_of_week,is_working_hour,time_delta_sec,host_time_delta_sec,event_count_1m,unique_event_id_per_host,is_sensitive_event
-9223372036854775808,2,1,3888,1,4208,60122,757026,10,4,0,0.0,0.0,3.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.5431625751460579,0
-9223372036854775808,2,1,3888,1,4208,60122,757027,10,4,0,0.0,0.0,3.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,0.5431625751460579,0
-9223372036854775808,2,1,3888,1,4208,60122,757028,10,4,0,0.0,0.0,3.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.5431625751460579,0
-9223372036854775808,2,4,3284,1,4364,60122,725640,12,4,1,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,56,4,4,1124,60122,202199,12810,3,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,55,4,4,1124,60122,202200,12810,3,1,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9223372036854775808,2,15,3284,1,4372,60122,725641,3,4,1,0.0,0.0,5.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005848481683042327,-0.010189696647161703,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,56,4,4,8064,60122,234881,12810,3,3,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058485817687174676,-0.0102186475959155,-0.9253116803135205,0.6215455598778244,0
-9223372036854775808,2,4,3432,1,4496,60122,659135,12,4,3,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,0.6215455598778244,0
-9214364837600034816,2,55,4,4,6176,60122,234883,12810,3,3,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005848481683042327,-0.010189696647161703,-0.9253116803135205,0.6215455598778244,0
-9214364837600034816,2,55,4,4,7360,60122,202201,12810,3,1,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.010160774591570337,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,55,4,4,7360,60122,202202,12810,3,1,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,55,4,4,6176,60122,234884,12810,3,3,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.6215455598778244,0
36028797018963968,2,62,0,6,0,60122,1668,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
36028797018963968,2,62,0,6,0,60122,1667,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
0,2,20,1648,0,4716,60122,2178,106,2,1,20.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
0,2,20,1648,0,4716,60122,2179,106,2,1,20.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
36028797018963968,2,62,0,6,0,60122,1672,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
36028797018963968,2,62,0,6,0,60122,1670,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
36028797018963968,2,62,0,6,0,60122,1671,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,56,4,4,6200,60122,765187,12810,3,0,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.010131708070166823,-0.9253116803135205,0.5431625751460579,0
0,2,20,1648,0,4716,60122,2181,106,2,1,20.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,55,4,4,6200,60122,765188,12810,3,0,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.010218618702753072,-0.9253116803135205,0.5431625751460579,0
36028797018963968,2,62,0,6,0,60122,1673,8,7,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005848631811555038,-0.01018978332664899,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,55,4,4,6200,60122,765189,12810,3,0,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.01018978332664899,-0.9253116803135205,0.5431625751460579,0
-9223372036854775808,2,4,3888,1,4208,60122,757029,12,4,0,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.5431625751460579,0
-9214364837600034816,2,35,704,4,3392,60122,765190,12548,3,0,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-1.253409562554743,0.5431625751460579,0
-9214364837600034816,2,25,704,4,3392,60122,765191,12544,3,0,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-1.258663131389715,0.5431625751460579,1
-9223372036854775808,2,4,3888,1,4208,60122,757030,12,4,0,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,0.5431625751460579,0
-9214364837600034816,2,27,704,4,3392,60122,765192,12554,3,0,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-1.258663131389715,0.5431625751460579,0
-9214364837600034816,2,28,704,4,5976,60122,765193,12545,3,0,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.5431625751460579,0
-9214364837600034816,2,55,4,4,6200,60122,765194,12810,3,0,0.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,0.5431625751460579,0
0,2,20,1648,0,4716,60122,2182,106,2,1,20.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218560916428214,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,56,4,4,7360,60122,202203,12810,3,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
0,2,20,1648,0,4716,60122,2183,106,2,1,20.0,0.0,1.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
-9214364837600034816,2,56,4,4,7360,60122,202205,12810,3,1,0.0,0.0,0.0,1,1,0.7427652122578541,1.420656525894336,1,-0.005898574563450411,-0.010218618702753072,-0.9253116803135205,-0.3974332416351395,0
-9223372036854775808,2,4,3284,1,4364,60122,725642,12,4,1,0.0,0.0,2.0,1,1,0.7427652122578541,1.420656525894336,1,-0.0058986246062879815,-0.0102186475959155,-0.9253116803135205,-0.3974332416351395,0
